Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Thu -24 May 2029 17:00,18895.0,18895.0,2419.0,129.0,0.0,1949.0,1909.0,14398.0,0.0,0.0,-0.0,515152.0,40.0,0.0,515152.0,14398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 17:30,18927.0,18927.0,2419.0,129.0,0.0,2959.0,2901.0,13420.0,0.0,0.0,-0.0,508442.0,58.0,0.0,508442.0,13420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 18:00,18049.0,18049.0,2419.0,129.0,0.0,2959.0,2901.0,12542.0,0.0,0.0,-0.0,502171.0,58.0,0.0,502171.0,12542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 18:30,16554.0,16554.0,2419.0,129.0,0.0,3929.0,3860.0,10077.0,0.0,0.0,-0.0,497132.0,69.0,0.0,497132.0,10077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 19:00,15283.0,15283.0,2419.0,129.0,0.0,3929.0,3860.0,8805.0,0.0,0.0,-0.0,492730.0,69.0,0.0,492730.0,8805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 19:30,14120.0,14120.0,2419.0,129.0,0.0,5329.0,5234.0,6243.0,0.0,0.0,-0.0,489608.0,95.0,0.0,489608.0,6243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 20:00,13263.0,13263.0,2419.0,129.0,0.0,5329.0,5234.0,5386.0,0.0,0.0,-0.0,486916.0,95.0,0.0,486916.0,5386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 20:30,12909.0,12909.0,2419.0,129.0,0.0,6565.0,6450.0,3795.0,0.0,0.0,-0.0,485018.0,115.0,0.0,485018.0,3795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 21:00,12405.0,12405.0,2419.0,129.0,0.0,6565.0,6450.0,3291.0,0.0,0.0,-0.0,483372.0,115.0,0.0,483372.0,3291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 21:30,11958.0,11958.0,2419.0,129.0,0.0,6860.0,6737.0,2550.0,0.0,0.0,-0.0,482097.0,124.0,0.0,482097.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 22:00,11637.0,11637.0,2419.0,129.0,0.0,6860.0,6737.0,2228.0,0.0,0.0,-0.0,480983.0,124.0,0.0,480983.0,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 22:30,11186.0,11186.0,2419.0,129.0,0.0,7602.0,7464.0,1036.0,0.0,0.0,-0.0,480466.0,137.0,0.0,480466.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 23:00,11029.0,11029.0,2419.0,129.0,0.0,7602.0,7464.0,879.0,0.0,0.0,-0.0,480026.0,137.0,0.0,480026.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 23:30,11242.0,11242.0,2419.0,129.0,0.0,6783.0,6664.0,1911.0,0.0,0.0,-0.0,479071.0,119.0,0.0,479071.0,1911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fri -25 May 2029 00:00,10808.0,10808.0,2419.0,129.0,0.0,9928.0,9763.0,0.0,0.0,0.0,-1668.0,479738.0,165.0,0.0,479738.0,0.0,-1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
