Scenario,Zone,n_year,Energy Demand (TWh p.a.),HVDC Loss (TWh p.a.),Solar (GW),Solar (TWh p.a.),Wind (GW),Wind (TWh p.a.),Hydro & Bio (GW),Hydro & Bio (TWh p.a.),Pumped Hydro (GW),Pumped Hydro (GWh),HVDC FNQ-QLD (GW),HVDC NSW-QLD (GW),HVDC NSW-SA (GW),HVDC NSW-VIC (GW),HVDC NT-SA (GW),HVDC SA-WA (GW),HVDC TAS-VIC (GW),LCOE ($/MWh),LCOG ($/MWh),LCOB (storage),LCOB (transmission),LCOB (spillage & loss),zone capacity
21,[14],25,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,1.344036137080156
21,[15 23 25],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,60.624253882395095
21,[15 23 25],25,345.842253,5.023495,80.256663,166.239783,73.592985,276.691426,7.78139,11.072873,48.472676,580.328009,0.0,19.164199,23.094523,22.565434,0.0,0.0,1.9736,88.121452,47.781609,13.80107,10.670582,15.86819,60.624253882395095
21,[1],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.0904074768344145
21,[1],25,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.0904074768344145
21,[2],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.2996514857784227
21,[2],25,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.2996514857784227
21,[3],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.111961246662485
21,[3],25,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.111961246662485
21,[4],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,7.463671591872021
21,[5],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,6.150398558520447
21,[6],10,345.842253,6.56295,74.207503,157.119204,68.57198,263.11807,7.78139,13.116047,46.985858,532.628584,0.0,18.84591,35.877486,24.077845,0.0,0.0,1.885561,85.259774,46.833608,13.088755,12.351574,12.985837,0.5424122501751292
21,[7],10,345.842253,4.089979,77.574561,160.432221,81.028691,301.599065,7.78139,10.32692,52.589213,616.033473,0.0,17.875391,16.315734,24.476855,0.0,0.0,1.930491,91.267664,48.080003,14.812277,10.000866,18.374519,2.336287524021536
21,[7],25,345.842253,5.026303,70.335431,145.119115,86.235755,319.922291,7.78139,11.077789,45.95113,484.142191,0.0,17.75863,26.574569,23.806309,0.0,0.0,1.890237,91.054706,48.203536,12.320839,11.393624,19.136707,2.336287524021536
22,all,25,392.969889,6.408464,107.959364,222.979903,81.7547,307.621983,7.78139,10.183493,52.778087,548.790742,0.0,21.065434,19.685003,23.233683,0.0,9.788168,2.125695,90.886563,47.848728,12.454583,11.493349,19.089903,76.62470982373098
22,[ 3 13 27],25,392.969889,6.782328,105.028283,217.790961,76.62471,295.110442,7.78139,10.631205,51.27783,531.958353,0.0,21.604075,22.874159,24.874564,0.0,9.531288,2.11675,87.947384,47.163106,12.09043,11.920602,16.773246,5.684475892754282
22,[ 3 27 28],25,392.969889,6.768935,101.498179,210.493367,83.847324,317.750045,7.78139,10.481733,51.67055,495.648447,0.0,22.114275,19.290269,24.430752,0.0,10.366497,1.930328,89.905061,47.5499,11.78424,11.791812,18.77911,5.769204364375387
22,[10],25,392.969889,6.782328,105.028283,217.790961,76.62471,295.110442,7.78139,10.631205,51.27783,531.958353,0.0,21.604075,22.874159,24.874564,0.0,9.531288,2.11675,87.947384,47.163106,12.09043,11.920602,16.773246,7.846745415654695
22,[14],25,392.969889,6.782328,105.028283,217.790961,76.62471,295.110442,7.78139,10.631205,51.27783,531.958353,0.0,21.604075,22.874159,24.874564,0.0,9.531288,2.11675,87.947384,47.163106,12.09043,11.920602,16.773246,1.874687698826204
22,[18 26 28],25,392.969889,7.007229,105.780502,218.4523,79.673786,301.768528,7.78139,10.287595,51.004305,585.863228,0.0,21.766247,21.402729,24.455302,0.0,9.562103,2.327377,90.007335,47.675814,12.594854,11.881736,17.854932,37.13962085393501
22,[18 26],25,392.969889,5.586775,97.497834,200.935344,91.210999,350.529732,7.78139,9.812212,77.347127,669.256134,0.0,21.134429,12.739295,30.846708,0.0,9.226252,1.853353,96.916446,47.201714,17.034067,11.492072,21.188593,32.22654776839874
22,[18 28],25,392.969889,6.6175,106.902099,221.400563,80.851408,300.265784,7.78139,9.997683,59.728027,744.402214,0.0,18.622412,20.254597,23.062716,0.0,11.200942,2.103356,93.133405,48.150531,15.370847,11.50205,18.109977,5.0663219039533125
22,[7],25,392.969889,6.61481,111.401958,229.657504,77.453046,292.94859,7.78139,10.109414,52.007942,610.820432,0.0,18.1017,24.985478,24.51891,0.0,9.701069,2.315106,90.692307,47.776134,12.969561,11.847885,18.098728,5.269065946035831
